date;time;group;subject;session;build;memory1_response;memory1_latency;memory2_response;memory2_latency
27/08/20;14:35:06;344733172;759;1;6.2.1;8 times followed by the UNPLEASANT sound, twice not followed by any sound;31813;Always followed by the PLEASANT sound;8020
27/08/20;14:39:35;938597136;772;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16568;Always followed by the SECOND sound;30454
27/08/20;14:40:14;588162660;769;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;20879;Always followed by the SECOND sound;8061
27/08/20;09:47:05;445942980;780;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8068;Always followed by the SECOND sound;2912
27/08/20;14:44:27;31690336;774;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;13638;Always followed by the PLEASANT sound;4912
27/08/20;14:46:33;631889793;778;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;30716;Always followed by the SECOND sound;6986
27/08/20;14:50:09;28029912;773;1;6.2.2;Always followed by the UNPLEASANT sound;15531;8 times followed by the PLEASANT sound, twice not followed by any sound;3768
27/08/20;14:48:16;587040232;777;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;33402;Always followed by the SECOND sound;9439
27/08/20;14:49:31;879323552;776;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;20793;Always followed by the PLEASANT sound;5853
27/08/20;14:50:35;799723507;779;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16071;Always followed by the SECOND sound;6663
27/08/20;14:53:52;686880266;792;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15116;Always followed by the PLEASANT sound;5529
27/08/20;14:55:51;596127707;781;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9871;Always followed by the PLEASANT sound;3996
27/08/20;15:59:20;410651162;816;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9303;Always followed by the PLEASANT sound;5522
27/08/20;16:08:38;362934038;372;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8893;8 times followed by the SECOND sound, twice not followed by any sound;5073
